,Average Walk Length,Average lifetime of item,Items (Delivered),Items (Picked up),Items (Waiting),Standard Deviation of Average Walk Lengths,UAVS,Walklength Divided by Distance
0,0.0,1.0,0,1,0,0.0,4,0.0
1,0.0,1.5,0,2,0,0.0,4,0.0
2,0.0,2.5,0,2,0,0.0,4,0.0
3,0.0,3.5,0,2,0,0.0,4,0.0
4,0.0,4.5,0,2,0,0.0,4,0.0
5,0.0,5.5,0,2,0,0.0,4,0.0
6,0.0,6.5,0,2,0,0.0,4,0.0
7,0.0,5.333333333333333,0,3,0,0.0,4,0.0
8,0.0,6.333333333333333,0,3,0,0.0,4,0.0
9,0.0,7.333333333333333,0,3,0,0.0,4,0.0
10,0.0,6.5,0,4,0,0.0,4,0.0
11,0.0,7.5,0,4,0,0.0,4,0.0
12,0.0,8.5,0,4,0,0.0,4,0.0
13,0.0,9.5,0,4,0,0.0,4,0.0
14,0.0,10.5,0,4,0,0.0,4,0.0
15,0.0,11.5,0,4,0,0.0,4,0.0
16,0.0,12.5,0,4,0,0.0,4,0.0
17,0.0,11.0,0,4,1,0.0,4,0.0
18,0.0,12.0,0,4,1,0.0,4,0.0
19,0.0,13.0,0,4,1,0.0,4,0.0
20,0.0,14.0,0,4,1,0.0,4,0.0
21,0.0,15.0,0,4,1,0.0,4,0.0
22,0.0,16.0,0,4,1,0.0,4,0.0
23,0.0,17.0,0,4,1,0.0,4,0.0
24,0.0,18.0,0,4,1,0.0,4,0.0
25,0.0,19.0,0,4,1,0.0,4,0.0
26,0.0,20.0,0,4,1,0.0,4,0.0
27,0.0,17.666666666666668,0,4,2,0.0,4,0.0
28,0.0,18.666666666666668,0,4,2,0.0,4,0.0
29,0.0,19.666666666666668,0,4,2,0.0,4,0.0
30,0.0,20.666666666666668,0,4,2,0.0,4,0.0
31,0.0,21.666666666666668,0,4,2,0.0,4,0.0
32,0.0,22.666666666666668,0,4,2,0.0,4,0.0
33,0.0,23.666666666666668,0,4,2,0.0,4,0.0
34,0.0,24.666666666666668,0,4,2,0.0,4,0.0
35,0.0,25.666666666666668,0,4,2,0.0,4,0.0
36,0.0,23.0,0,4,3,0.0,4,0.0
37,0.0,24.0,0,4,3,0.0,4,0.0
38,0.0,25.0,0,4,3,0.0,4,0.0
39,0.0,26.0,0,4,3,0.0,4,0.0
40,39.0,21.285714285714285,1,4,4,0.0,4,0.7633862853691146
41,39.0,22.285714285714285,1,4,4,0.0,4,0.7633862853691146
42,39.0,23.285714285714285,1,4,4,0.0,4,0.7633862853691146
43,39.0,21.375,1,4,5,0.0,4,0.7633862853691146
44,39.0,22.375,1,4,5,0.0,4,0.7633862853691146
45,39.0,23.375,1,4,5,0.0,4,0.7633862853691146
46,39.0,24.375,1,4,5,0.0,4,0.7633862853691146
47,39.0,25.375,1,4,5,0.0,4,0.7633862853691146
48,39.0,26.375,1,4,5,0.0,4,0.7633862853691146
49,39.0,27.375,1,4,5,0.0,4,0.7633862853691146
50,39.0,25.333333333333332,1,4,6,0.0,4,0.7633862853691146
51,39.0,26.333333333333332,1,4,6,0.0,4,0.7633862853691146
52,39.0,24.7,1,4,7,0.0,4,0.7633862853691146
53,39.0,25.7,1,4,7,0.0,4,0.7633862853691146
54,39.0,24.363636363636363,1,4,8,0.0,4,0.7633862853691146
55,39.0,25.363636363636363,1,4,8,0.0,4,0.7633862853691146
56,39.0,24.25,1,4,9,0.0,4,0.7633862853691146
57,39.0,25.25,1,4,9,0.0,4,0.7633862853691146
58,39.0,26.25,1,4,9,0.0,4,0.7633862853691146
59,39.0,25.23076923076923,1,4,10,0.0,4,0.7633862853691146
60,39.0,26.23076923076923,1,4,10,0.0,4,0.7633862853691146
61,39.0,27.23076923076923,1,4,10,0.0,4,0.7633862853691146
62,39.0,28.23076923076923,1,4,10,0.0,4,0.7633862853691146
63,39.0,29.23076923076923,1,4,10,0.0,4,0.7633862853691146
64,39.0,30.23076923076923,1,4,10,0.0,4,0.7633862853691146
65,39.0,29.071428571428573,1,4,11,0.0,4,0.7633862853691146
66,39.0,30.071428571428573,1,4,11,0.0,4,0.7633862853691146
67,39.0,31.071428571428573,1,4,11,0.0,4,0.7633862853691146
68,39.0,32.07142857142857,1,4,11,0.0,4,0.7633862853691146
69,39.0,33.07142857142857,1,4,11,0.0,4,0.7633862853691146
70,39.0,34.07142857142857,1,4,11,0.0,4,0.7633862853691146
71,39.0,35.07142857142857,1,4,11,0.0,4,0.7633862853691146
72,39.0,36.07142857142857,1,4,11,0.0,4,0.7633862853691146
73,39.0,37.07142857142857,1,4,11,0.0,4,0.7633862853691146
74,39.0,38.07142857142857,1,4,11,0.0,4,0.7633862853691146
75,39.0,39.07142857142857,1,4,11,0.0,4,0.7633862853691146
76,39.0,40.07142857142857,1,4,11,0.0,4,0.7633862853691146
77,39.0,41.07142857142857,1,4,11,0.0,4,0.7633862853691146
78,39.0,42.07142857142857,1,4,11,0.0,4,0.7633862853691146
79,39.0,43.07142857142857,1,4,11,0.0,4,0.7633862853691146
80,39.0,44.07142857142857,1,5,10,0.0,4,0.7633862853691146
81,39.0,42.13333333333333,1,5,11,0.0,4,0.7633862853691146
82,39.0,43.13333333333333,1,5,11,0.0,4,0.7633862853691146
83,39.0,44.13333333333333,1,5,11,0.0,4,0.7633862853691146
84,39.0,42.375,1,5,12,0.0,4,0.7633862853691146
85,39.0,43.375,1,5,12,0.0,4,0.7633862853691146
86,39.0,44.375,1,5,12,0.0,4,0.7633862853691146
87,39.0,45.375,1,5,12,0.0,4,0.7633862853691146
88,39.0,46.375,1,5,12,0.0,4,0.7633862853691146
89,39.0,47.375,1,5,12,0.0,4,0.7633862853691146
90,39.0,48.375,1,5,12,0.0,4,0.7633862853691146
91,39.0,46.529411764705884,1,5,13,0.0,4,0.7633862853691146
92,39.0,47.529411764705884,1,5,13,0.0,4,0.7633862853691146
93,39.0,48.529411764705884,1,5,13,0.0,4,0.7633862853691146
94,39.0,46.833333333333336,1,5,14,0.0,4,0.7633862853691146
95,39.0,47.833333333333336,1,5,14,0.0,4,0.7633862853691146
96,39.0,48.833333333333336,1,5,14,0.0,4,0.7633862853691146
97,39.0,49.833333333333336,1,5,14,0.0,4,0.7633862853691146
98,39.0,50.833333333333336,1,5,14,0.0,4,0.7633862853691146
99,39.0,49.1578947368421,1,5,15,0.0,4,0.7633862853691146
100,39.0,47.7,1,5,16,0.0,4,0.7633862853691146
101,39.0,48.7,1,5,16,0.0,4,0.7633862853691146
102,39.0,49.7,1,5,16,0.0,4,0.7633862853691146
103,39.0,50.7,1,5,16,0.0,4,0.7633862853691146
